text,label
I love the new design of your website!,Positive
This is the worst customer experience I’ve ever had.,Negative
"The delivery was on time, but the packaging was poor.",Neutral
Absolutely amazing service – I’ll definitely come back!,Positive
I'm not sure how I feel about this product yet.,Neutral
The instructions were confusing and hard to follow.,Negative
Fast shipping and excellent support!,Positive
The item arrived broken and I couldn't get a refund.,Negative
"Everything works as expected, no complaints.",Neutral
Too expensive for what it offers.,Neutral
Great value for money. Highly recommended!,Positive
Customer support didn't respond to my emails.,Negative
"I like the features, but it drains battery quickly.",Neutral
User interface is intuitive and responsive.,Positive
"The product was okay, nothing special.",Neutral
I’ve already told my friends about this app!,Positive
Really slow loading time on mobile devices.,Negative
Perfect for my needs. Simple and reliable.,Positive
The return process was frustrating and slow.,Negative
The colors are vibrant and the material feels premium.,Positive
I love the new design of your website!,Positive
This is the worst customer experience I’ve ever had.,Negative
"The delivery was on time, but the packaging was poor.",Neutral
Absolutely amazing service – I’ll definitely come back!,Positive
I'm not sure how I feel about this product yet.,Neutral
The instructions were confusing and hard to follow.,Negative
Fast shipping and excellent support!,Positive
The item arrived broken and I couldn't get a refund.,Negative
"Everything works as expected, no complaints.",Neutral
Too expensive for what it offers.,Negative
Great value for money. Highly recommended!,Positive
Customer support didn't respond to my emails.,Negative
"I like the features, but it drains battery quickly.",Neutral
User interface is intuitive and responsive.,Positive
"The product was okay, nothing special.",Neutral
I’ve already told my friends about this app!,Positive
Really slow loading time on mobile devices.,Negative
Perfect for my needs. Simple and reliable.,Positive
The return process was frustrating and slow.,Neutral
The colors are vibrant and the material feels premium.,Positive
